,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
260,2,0.75,0.901,0.201,0.1,0.1,1.2,6,99.9980846144293
261,2,0.25,0.001,0.301,0.1,0.1,1.2,24,99.9744088538873
262,2,0.75,0.001,0.301,0.1,0.1,1.2,7,99.9899210076819
263,2,0.25,0.101,0.301,0.1,0.1,1.2,9,99.9956469632726
264,2,0.75,0.101,0.301,0.1,0.1,1.2,10,99.994991181679
265,2,0.25,0.201,0.301,0.1,0.1,1.2,8,99.9968595425472
266,2,0.75,0.201,0.301,0.1,0.1,1.2,8,99.9954831256985
267,2,0.25,0.301,0.301,0.1,0.1,1.2,8,99.9971631855588
268,2,0.75,0.301,0.301,0.1,0.1,1.2,9,99.9950359111036
269,2,0.25,0.401,0.301,0.1,0.1,1.2,6,99.9974854926598
270,2,0.75,0.401,0.301,0.1,0.1,1.2,8,99.9964583420905
271,2,0.25,0.501,0.301,0.1,0.1,1.2,9,99.9976754525675
272,2,0.75,0.501,0.301,0.1,0.1,1.2,10,99.9973743239746
273,2,0.25,0.601,0.301,0.1,0.1,1.2,8,99.9979468543354
274,2,0.75,0.601,0.301,0.1,0.1,1.2,7,99.9970722804045
275,2,0.25,0.701,0.301,0.1,0.1,1.2,10,99.9980542571623
276,2,0.75,0.701,0.301,0.1,0.1,1.2,8,99.9967010733133
277,2,0.25,0.801,0.301,0.1,0.1,1.2,9,99.9979846866343
278,2,0.75,0.801,0.301,0.1,0.1,1.2,3,99.9980239786434
279,2,0.25,0.901,0.301,0.1,0.1,1.2,9,99.998009617514
280,2,0.75,0.901,0.301,0.1,0.1,1.2,9,99.9967041116826
281,2,0.25,0.001,0.401,0.1,0.1,1.2,21,99.9747260674566
282,2,0.75,0.001,0.401,0.1,0.1,1.2,9,99.9868267528465
283,2,0.25,0.101,0.401,0.1,0.1,1.2,10,99.9960784546601
284,2,0.75,0.101,0.401,0.1,0.1,1.2,9,99.9945075011778
285,2,0.25,0.201,0.401,0.1,0.1,1.2,9,99.9970079230467
286,2,0.75,0.201,0.401,0.1,0.1,1.2,8,99.9966903837158
287,2,0.25,0.301,0.401,0.1,0.1,1.2,8,99.9975437461421
288,2,0.75,0.301,0.401,0.1,0.1,1.2,9,99.9960597361673
289,2,0.25,0.401,0.401,0.1,0.1,1.2,10,99.9974190148692
290,2,0.75,0.401,0.401,0.1,0.1,1.2,9,99.9967645849405
