,fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
3.36,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.37,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.38,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.39,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.40,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.41,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.42,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.43,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.44,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.45,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.46,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.47,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.48,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.49,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.50,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.51,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.52,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.53,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.54,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.55,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.56,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.57,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.58,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.59,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.60,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.61,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.62,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.63,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.64,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.65,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.66,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.67,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.68,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.69,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.70,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.71,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.72,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.73,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.74,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.75,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.76,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.77,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.78,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.79,1,3,1.2,0.7,0.005,2,0.9,persistence,2,100
3.80,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.81,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.82,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.83,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.84,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.85,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
